	verb.change	verb.cognition	verb.communication	verb.consumption	verb.creation	verb.emotion	verb.motion	verb.perception	verb.possession	verb.social	verb.stative	verb.body	verb.contact	verb.competition	verb.weather
verb.change	552	45	81	16	48	20	70	27	49	92	64	49	139	23	10
verb.cognition	45	273	84	10	30	15	20	34	35	71	37	13	33	5	0
verb.communication	81	84	550	7	63	33	47	40	42	90	51	24	71	27	5
verb.consumption	16	10	7	80	6	10	10	9	22	14	12	10	17	2	4
verb.creation	48	30	63	6	210	9	33	19	17	34	22	12	47	8	1
verb.emotion	20	15	33	10	9	158	16	18	11	29	15	26	22	5	2
verb.motion	70	20	47	10	33	16	291	17	22	54	51	15	86	24	3
verb.perception	27	34	40	9	19	18	17	149	16	26	19	16	24	5	5
verb.possession	49	35	42	22	17	11	22	16	260	60	38	13	49	18	1
verb.social	92	71	90	14	34	29	54	26	60	414	61	23	84	31	3
verb.stative	64	37	51	12	22	15	51	19	38	61	259	11	38	20	1
verb.body	49	13	24	10	12	26	15	16	13	23	11	168	31	5	4
verb.contact	139	33	71	17	47	22	86	24	49	84	38	31	477	32	5
verb.competition	23	5	27	2	8	5	24	5	18	31	20	5	32	119	1
verb.weather	10	0	5	4	1	2	3	5	1	3	1	4	5	1	27
# TOKEN LEVEL
	verb.change	verb.cognition	verb.communication	verb.consumption	verb.creation	verb.emotion	verb.motion	verb.perception	verb.possession	verb.social	verb.stative	verb.body	verb.contact	verb.competition	verb.weather
verb.change	16761	3245	4887	2121	2806	1253	5876	2561	5176	4703	6987	2010	6301	1725	236
verb.cognition	3245	12995	7253	798	2509	670	1643	2350	2904	4352	2674	1230	1592	293	0
verb.communication	4887	7253	20294	920	4709	440	3287	3186	3765	5165	3909	1363	4076	1397	180
verb.consumption	2121	798	920	4099	170	1076	1523	1173	2700	1513	2031	641	1571	209	58
verb.creation	2806	2509	4709	170	8864	253	2169	1664	1838	2665	2010	686	2668	769	83
verb.emotion	1253	670	440	1076	253	3547	1100	1177	1277	683	1544	567	1392	229	23
verb.motion	5876	1643	3287	1523	2169	1100	10265	2311	2970	3130	4983	1139	4236	1244	115
verb.perception	2561	2350	3186	1173	1664	1177	2311	6782	2588	1250	2691	548	1949	536	55
verb.possession	5176	2904	3765	2700	1838	1277	2970	2588	11749	3871	3754	1183	3912	1922	89
verb.social	4703	4352	5165	1513	2665	683	3130	1250	3871	15671	5074	1413	4056	1805	124
verb.stative	6987	2674	3909	2031	2010	1544	4983	2691	3754	5074	15682	1138	3842	1550	89
verb.body	2010	1230	1363	641	686	567	1139	548	1183	1413	1138	4437	1547	287	122
verb.contact	6301	1592	4076	1571	2668	1392	4236	1949	3912	4056	3842	1547	11470	1933	30
verb.competition	1725	293	1397	209	769	229	1244	536	1922	1805	1550	287	1933	4594	83
verb.weather	236	0	180	58	83	23	115	55	89	124	89	122	30	83	397
